date,UK number of case,Italy number of case,Spain number of case,France number of case,German number of case
1,2,0,0,0,0
2,2,0,0,0,0
3,2,0,0,0,0
4,2,0,0,0,0
5,2,0,0,0,0
6,2,0,0,0,0
7,3,0,0,0,0
8,3,0,0,0,0
9,3,0,0,0,0
10,4,0,0,0,0
11,8,0,0,0,0
12,8,0,0,0,0
13,8,0,0,0,0
14,9,0,0,0,0
15,9,0,0,0,0
16,9,0,0,0,0
17,9,3,2,12,16
18,9,3,2,12,16
19,9,3,2,12,16
20,9,3,2,12,16
21,9,3,2,12,16
22,9,4,2,12,16
23,9,21,2,12,16
24,9,79,2,12,16
25,13,157,2,12,16
26,13,229,3,12,16
27,13,323,9,14,18
28,13,470,13,18,26
29,19,655,25,38,48
30,23,889,33,57,74
31,35,1128,58,100,79
32,40,1701,84,130,130
33,51,2036,120,191,165
34,85,2502,165,212,203
35,114,3089,228,285,262
36,160,3858,282,423,545
37,206,4636,401,653,670
38,271,5883,525,949,800
39,32`,7375,674,1209,1040
40,373,9172,1231,1412,1224
41,456,10149,1695,1784,1565
42,590,12462,2277,2281,1966
43,797,15113,3146,2876,2745
44,1140,17660,5232,3661,3675
45,1372,21157,6391,4499,4599
46,1543,24747,7988,5423,5813
47,1950,27980,9942,6633,7272
48,2626,31506,11826,7730,9367
49,3269,35713,14769,9134,12327
50,3983,41035,18077,10995,15320
51,5018,47021,21571,12612,19848
52,5683,53578,25496,14459,22364
53,6650,59138,28768,16018,24873
54,8077,63927,35136,19856,29056
55,9529,69176,42058,22304,32991
56,11658,74386,49515,25233,37323
57,14543,80589,57786,29155,43938
58,17089,86498,65719,32964,50871
59,19522,92472,73235,37575,57695
60,22141,97689,80110,40174,62435
61,25150,101739,87956,44550,66885
62,29474,105792,95323,52128,71808
63,33718,110574,104118,56989,77981
64,38168,115242,112065,59105,84794
65,41903,119827,119199,82165,91159
66,47806,124632,126168,89953,96092